,date,new_confirmed
616,2021-11-13,1529.142857142857
617,2021-11-14,1644.0
618,2021-11-15,1630.0
619,2021-11-16,1665.0
620,2021-11-17,1593.142857142857
621,2021-11-18,1625.7142857142858
622,2021-11-19,1626.2857142857142
623,2021-11-20,1634.2857142857142
624,2021-11-21,1614.5714285714287
625,2021-11-22,1598.4285714285713
626,2021-11-23,1577.0
627,2021-11-24,1528.5714285714287
628,2021-11-25,1427.7142857142858
629,2021-11-26,1286.0
630,2021-11-27,1272.7142857142858
631,2021-11-28,1304.2857142857142
632,2021-11-29,1316.142857142857
633,2021-11-30,1389.2857142857142
634,2021-12-01,1477.2857142857142
635,2021-12-02,1627.857142857143
636,2021-12-03,1828.857142857143
637,2021-12-04,1899.5714285714287
638,2021-12-05,1923.2857142857142
639,2021-12-06,1924.0
640,2021-12-07,1897.2857142857142
641,2021-12-08,1963.7142857142858
642,2021-12-09,2038.142857142857
643,2021-12-10,2138.0
644,2021-12-11,2270.4285714285716
645,2021-12-12,2394.285714285714
646,2021-12-13,2621.5714285714284
647,2021-12-14,3012.8571428571427
648,2021-12-15,3762.8571428571427
649,2021-12-16,4863.714285714285
650,2021-12-17,5908.571428571428
651,2021-12-18,7107.0
652,2021-12-19,8350.857142857143
653,2021-12-20,9996.42857142857
654,2021-12-21,12321.714285714286
655,2021-12-22,15179.285714285714
656,2021-12-23,18285.571428571428
657,2021-12-24,20806.85714285714
658,2021-12-25,22241.428571428572
659,2021-12-26,24824.85714285714
660,2021-12-27,27470.428571428572
661,2021-12-28,31998.285714285714
662,2021-12-29,36217.857142857145
663,2021-12-30,42195.71428571428
664,2021-12-31,46113.28571428572
665,2022-01-01,49616.57142857143
666,2022-01-02,51111.857142857145
667,2022-01-03,53655.42857142857
668,2022-01-04,54545.57142857143
669,2022-01-05,55765.57142857143
670,2022-01-06,56135.0
671,2022-01-07,58175.28571428572
672,2022-01-08,62629.28571428572
673,2022-01-09,64023.857142857145
674,2022-01-10,63468.28571428572
675,2022-01-11,65242.71428571428
676,2022-01-12,63670.71428571428
677,2022-01-13,61122.0
678,2022-01-14,58213.857142857145
679,2022-01-15,53913.71428571428
680,2022-01-16,51397.71428571428
681,2022-01-17,49303.57142857143
682,2022-01-18,45222.57142857143
683,2022-01-19,43869.71428571428
684,2022-01-20,40951.42857142857
685,2022-01-21,37166.28571428572
686,2022-01-22,31689.285714285714
687,2022-01-23,32271.14285714286
688,2022-01-24,32597.714285714286
689,2022-01-25,31806.714285714286
690,2022-01-26,29264.285714285714
691,2022-01-27,28143.428571428572
692,2022-01-28,28133.14285714286
693,2022-01-29,29763.285714285714
694,2022-01-30,26847.85714285714
695,2022-01-31,24706.428571428572
696,2022-02-01,21790.0
697,2022-02-02,20346.14285714286
698,2022-02-03,18691.571428571428
699,2022-02-04,18171.85714285714
700,2022-02-05,17001.714285714286
701,2022-02-06,17734.14285714286
702,2022-02-07,17632.14285714286
703,2022-02-08,17069.0
704,2022-02-09,15978.57142857143
705,2022-02-10,14688.285714285714
706,2022-02-11,13252.42857142857
707,2022-02-12,12357.42857142857
708,2022-02-13,10041.285714285714
709,2022-02-14,8147.428571428572
710,2022-02-15,7217.857142857143
711,2022-02-16,6689.571428571428
712,2022-02-17,6051.571428571428
713,2022-02-18,5556.571428571428
714,2022-02-19,5243.142857142857
715,2022-02-20,5093.571428571428
716,2022-02-21,4770.428571428572
717,2022-02-22,4417.285714285715
718,2022-02-23,4001.5714285714284
719,2022-02-24,3652.714285714286
720,2022-02-25,3265.8571428571427
721,2022-02-26,3034.0
722,2022-02-27,2847.8571428571427
723,2022-02-28,2625.1428571428573
724,2022-03-01,2318.714285714286
