,date,new_confirmed
616,2021-11-13,3082.0
617,2021-11-14,3082.0
618,2021-11-15,3292.1428571428573
619,2021-11-16,3395.8571428571427
620,2021-11-17,3425.0
621,2021-11-18,3440.1428571428573
622,2021-11-19,3499.1428571428573
623,2021-11-20,3499.1428571428573
624,2021-11-21,3499.1428571428573
625,2021-11-22,3590.285714285714
626,2021-11-23,3652.285714285714
627,2021-11-24,3716.714285714286
628,2021-11-25,3712.5714285714284
629,2021-11-26,3225.1428571428573
630,2021-11-27,3225.1428571428573
631,2021-11-28,3225.1428571428573
632,2021-11-29,3064.1428571428573
633,2021-11-30,3183.8571428571427
634,2021-12-01,3285.714285714286
635,2021-12-02,3549.714285714286
636,2021-12-03,4199.571428571428
637,2021-12-04,4199.571428571428
638,2021-12-05,4199.571428571428
639,2021-12-06,4322.142857142857
640,2021-12-07,3903.1428571428573
641,2021-12-08,3708.5714285714284
642,2021-12-09,3559.285714285714
643,2021-12-10,3772.285714285714
644,2021-12-11,3772.285714285714
645,2021-12-12,3772.285714285714
646,2021-12-13,4071.8571428571427
647,2021-12-14,4337.142857142857
648,2021-12-15,4500.571428571428
649,2021-12-16,4565.714285714285
650,2021-12-17,4299.571428571428
651,2021-12-18,4299.571428571428
652,2021-12-19,4299.571428571428
653,2021-12-20,3998.4285714285716
654,2021-12-21,4011.285714285714
655,2021-12-22,4082.4285714285716
656,2021-12-23,4175.714285714285
657,2021-12-24,4178.714285714285
658,2021-12-25,4178.714285714285
659,2021-12-26,4178.714285714285
660,2021-12-27,3910.5714285714284
661,2021-12-28,4192.428571428572
662,2021-12-29,4497.714285714285
663,2021-12-30,4881.142857142857
664,2021-12-31,5318.142857142857
665,2022-01-01,5318.142857142857
666,2022-01-02,5318.142857142857
667,2022-01-03,6195.571428571428
668,2022-01-04,6628.428571428572
669,2022-01-05,7470.857142857143
670,2022-01-06,8263.57142857143
671,2022-01-07,9342.42857142857
672,2022-01-08,9342.42857142857
673,2022-01-09,9342.42857142857
674,2022-01-10,12444.142857142857
675,2022-01-11,13141.57142857143
676,2022-01-12,13834.42857142857
677,2022-01-13,14199.285714285714
678,2022-01-14,15935.142857142857
679,2022-01-15,15935.142857142857
680,2022-01-16,15935.142857142857
681,2022-01-17,23047.0
682,2022-01-18,23722.428571428572
683,2022-01-19,23172.428571428572
684,2022-01-20,23332.285714285714
685,2022-01-21,21227.85714285714
686,2022-01-22,21227.85714285714
687,2022-01-23,21227.85714285714
688,2022-01-24,12801.857142857143
689,2022-01-25,10997.857142857143
690,2022-01-26,10136.57142857143
691,2022-01-27,8859.285714285714
692,2022-01-28,8173.285714285715
693,2022-01-29,8173.285714285715
694,2022-01-30,8173.285714285715
695,2022-01-31,6602.285714285715
696,2022-02-01,6188.142857142857
697,2022-02-02,5719.0
698,2022-02-03,5165.142857142857
699,2022-02-04,4569.142857142857
700,2022-02-05,4569.142857142857
701,2022-02-06,4569.142857142857
702,2022-02-07,3731.8571428571427
703,2022-02-08,3488.4285714285716
704,2022-02-09,3161.714285714286
705,2022-02-10,2817.285714285714
706,2022-02-11,2592.4285714285716
707,2022-02-12,2592.4285714285716
708,2022-02-13,2592.4285714285716
709,2022-02-14,2141.714285714286
710,2022-02-15,2024.857142857143
711,2022-02-16,1830.857142857143
712,2022-02-17,1674.142857142857
713,2022-02-18,1547.142857142857
714,2022-02-19,1547.142857142857
715,2022-02-20,1547.142857142857
716,2022-02-21,1289.142857142857
717,2022-02-22,1211.5714285714287
718,2022-02-23,1109.5714285714287
719,2022-02-24,976.7142857142857
720,2022-02-25,868.4285714285714
721,2022-02-26,868.4285714285714
722,2022-02-27,868.4285714285714
723,2022-02-28,747.1428571428571
724,2022-03-01,709.7142857142857
