,date,new_confirmed
616,2021-11-13,1161.7142857142858
617,2021-11-14,1173.4285714285713
618,2021-11-15,1196.857142857143
619,2021-11-16,1221.0
620,2021-11-17,1178.857142857143
621,2021-11-18,1226.2857142857142
622,2021-11-19,1285.142857142857
623,2021-11-20,1338.4285714285713
624,2021-11-21,1353.0
625,2021-11-22,1334.2857142857142
626,2021-11-23,1359.5714285714287
627,2021-11-24,1360.857142857143
628,2021-11-25,1325.0
629,2021-11-26,1209.7142857142858
630,2021-11-27,1061.5714285714287
631,2021-11-28,1041.2857142857142
632,2021-11-29,1058.857142857143
633,2021-11-30,1154.4285714285713
634,2021-12-01,1223.5714285714287
635,2021-12-02,1348.4285714285713
636,2021-12-03,1541.857142857143
637,2021-12-04,1790.0
638,2021-12-05,1839.4285714285713
639,2021-12-06,1873.857142857143
640,2021-12-07,1852.2857142857142
641,2021-12-08,1855.857142857143
642,2021-12-09,1869.7142857142858
643,2021-12-10,1862.4285714285713
644,2021-12-11,1803.0
645,2021-12-12,1793.2857142857142
646,2021-12-13,1802.2857142857142
647,2021-12-14,1771.7142857142858
648,2021-12-15,1769.857142857143
649,2021-12-16,1730.7142857142858
650,2021-12-17,1777.142857142857
651,2021-12-18,1848.7142857142858
652,2021-12-19,1983.7142857142858
653,2021-12-20,2043.142857142857
654,2021-12-21,2195.4285714285716
655,2021-12-22,2404.1428571428573
656,2021-12-23,2833.285714285714
657,2021-12-24,3226.1428571428573
658,2021-12-25,3556.285714285714
659,2021-12-26,3838.0
660,2021-12-27,3837.285714285714
661,2021-12-28,4331.857142857143
662,2021-12-29,5450.0
663,2021-12-30,6509.714285714285
664,2021-12-31,7857.857142857143
665,2022-01-01,8803.857142857143
666,2022-01-02,9346.714285714286
667,2022-01-03,10220.0
668,2022-01-04,10629.0
669,2022-01-05,11155.142857142857
670,2022-01-06,11836.285714285714
671,2022-01-07,12523.285714285714
672,2022-01-08,12804.857142857143
673,2022-01-09,13357.57142857143
674,2022-01-10,13589.142857142857
675,2022-01-11,14249.57142857143
676,2022-01-12,14505.285714285714
677,2022-01-13,14438.714285714286
678,2022-01-14,14673.857142857143
679,2022-01-15,15655.857142857143
680,2022-01-16,16128.42857142857
681,2022-01-17,16468.285714285714
682,2022-01-18,16066.857142857143
683,2022-01-19,15968.714285714286
684,2022-01-20,16695.85714285714
685,2022-01-21,16763.714285714286
686,2022-01-22,16468.285714285714
687,2022-01-23,16785.714285714286
688,2022-01-24,16417.285714285714
689,2022-01-25,17169.85714285714
690,2022-01-26,17127.14285714286
691,2022-01-27,16036.57142857143
692,2022-01-28,15503.142857142857
693,2022-01-29,14755.42857142857
694,2022-01-30,13711.285714285714
695,2022-01-31,13187.714285714286
696,2022-02-01,12241.714285714286
697,2022-02-02,11719.285714285714
698,2022-02-03,11261.285714285714
699,2022-02-04,9876.42857142857
700,2022-02-05,9129.42857142857
701,2022-02-06,8279.285714285714
702,2022-02-07,7946.142857142857
703,2022-02-08,7491.714285714285
704,2022-02-09,6624.142857142857
705,2022-02-10,5900.0
706,2022-02-11,5549.285714285715
707,2022-02-12,5177.285714285715
708,2022-02-13,4961.142857142857
709,2022-02-14,4727.857142857143
710,2022-02-15,4546.857142857143
711,2022-02-16,4225.285714285715
712,2022-02-17,3896.8571428571427
713,2022-02-18,3594.8571428571427
714,2022-02-19,3278.0
715,2022-02-20,3132.8571428571427
716,2022-02-21,3064.4285714285716
717,2022-02-22,2533.714285714286
718,2022-02-23,2351.0
719,2022-02-24,2119.5714285714284
720,2022-02-25,1894.7142857142858
721,2022-02-26,1736.857142857143
722,2022-02-27,1645.2857142857142
723,2022-02-28,1535.857142857143
724,2022-03-01,1592.2857142857142
