,date,new_confirmed,State,Region,categorical_id,day_of_week,categorical_month,days_from_start,week_of_month,categorical_day_of_week,categorical_week,stringency_index,government_response_index,containment_health_index,economic_support_index,new_confirmed_lag_7,stringency_index_lag_7,government_response_index_lag_7,containment_health_index_lag_7,economic_support_index_lag_7,is_holiday,is_holiday_lead_1,is_holiday_lead_2,is_holiday_lag_1,is_holiday_lag_2
0,2020-03-01,0.0,Pennsylvania,PR,43,6,3,0,1,6,1,,,,,0,0,0,0,0,0,0,0,0,0
1,2020-03-02,0.0,Pennsylvania,PR,43,0,3,1,1,0,1,,,,,0,0,0,0,0,0,0,0,0,0
2,2020-03-03,0.0,Pennsylvania,PR,43,1,3,2,1,1,1,,,,,0,0,0,0,0,0,0,0,0,0
3,2020-03-04,0.0,Pennsylvania,PR,43,2,3,3,1,2,1,,,,,0,0,0,0,0,0,0,0,0,0
4,2020-03-05,0.0,Pennsylvania,PR,43,3,3,4,1,3,1,,,,,0,0,0,0,0,0,0,0,0,0
5,2020-03-06,0.0,Pennsylvania,PR,43,4,3,5,1,4,1,,,,,0,0,0,0,0,0,0,0,0,0
6,2020-03-07,0.0,Pennsylvania,PR,43,5,3,6,2,5,2,,,,,0,0,0,0,0,0,0,0,0,0
7,2020-03-08,0.0,Pennsylvania,PR,43,6,3,7,2,6,2,,,,,0,0,0,0,0,0,0,0,0,0
8,2020-03-09,0.0,Pennsylvania,PR,43,0,3,8,2,0,2,,,,,0,0,0,0,0,0,0,0,0,0
9,2020-03-10,0.0,Pennsylvania,PR,43,1,3,9,2,1,2,,,,,0,0,0,0,0,0,0,0,0,0
10,2020-03-11,0.0,Pennsylvania,PR,43,2,3,10,2,2,2,,,,,0,0,0,0,0,0,0,0,0,0
11,2020-03-12,0.0,Pennsylvania,PR,43,3,3,11,2,3,2,,,,,0,0,0,0,0,0,0,0,0,0
12,2020-03-13,0.0,Pennsylvania,PR,43,4,3,12,2,4,2,,,,,0,0,0,0,0,0,0,0,0,0
13,2020-03-14,0.0,Pennsylvania,PR,43,5,3,13,3,5,3,,,,,0,0,0,0,0,0,0,0,0,0
14,2020-03-15,0.0,Pennsylvania,PR,43,6,3,14,3,6,3,,,,,0,0,0,0,0,0,0,0,0,0
15,2020-03-16,0.0,Pennsylvania,PR,43,0,3,15,3,0,3,,,,,0,0,0,0,0,0,0,0,0,0
16,2020-03-17,0.0,Pennsylvania,PR,43,1,3,16,3,1,3,,,,,0,0,0,0,0,0,0,0,0,0
17,2020-03-18,0.0,Pennsylvania,PR,43,2,3,17,3,2,3,,,,,0,0,0,0,0,0,0,0,0,0
18,2020-03-19,0.0,Pennsylvania,PR,43,3,3,18,3,3,3,,,,,0,0,0,0,0,0,0,0,0,0
19,2020-03-20,0.0,Pennsylvania,PR,43,4,3,19,3,4,3,,,,,0,0,0,0,0,0,0,0,0,0
20,2020-03-21,0.0,Pennsylvania,PR,43,5,3,20,4,5,4,,,,,0,0,0,0,0,0,0,0,0,0
21,2020-03-22,0.0,Pennsylvania,PR,43,6,3,21,4,6,4,,,,,0,0,0,0,0,0,0,0,0,0
22,2020-03-23,0.0,Pennsylvania,PR,43,0,3,22,4,0,4,,,,,0,0,0,0,0,0,0,0,0,0
23,2020-03-24,0.0,Pennsylvania,PR,43,1,3,23,4,1,4,,,,,0,0,0,0,0,0,0,0,0,0
24,2020-03-25,0.0,Pennsylvania,PR,43,2,3,24,4,2,4,,,,,0,0,0,0,0,0,0,0,0,0
