,date,new_confirmed
616,2021-11-13,3164.1428571428573
617,2021-11-14,3080.285714285714
618,2021-11-15,3055.1428571428573
619,2021-11-16,2904.0
620,2021-11-17,3075.0
621,2021-11-18,3214.5714285714284
622,2021-11-19,3437.0
623,2021-11-20,3268.5714285714284
624,2021-11-21,3263.4285714285716
625,2021-11-22,3346.4285714285716
626,2021-11-23,3237.8571428571427
627,2021-11-24,3138.0
628,2021-11-25,3100.714285714286
629,2021-11-26,2567.1428571428573
630,2021-11-27,2258.4285714285716
631,2021-11-28,2222.8571428571427
632,2021-11-29,2365.0
633,2021-11-30,2755.714285714286
634,2021-12-01,2677.4285714285716
635,2021-12-02,2761.1428571428573
636,2021-12-03,3340.4285714285716
637,2021-12-04,4431.428571428572
638,2021-12-05,5140.428571428572
639,2021-12-06,5272.285714285715
640,2021-12-07,5083.571428571428
641,2021-12-08,5116.285714285715
642,2021-12-09,4978.0
643,2021-12-10,5024.714285714285
644,2021-12-11,4533.0
645,2021-12-12,4155.714285714285
646,2021-12-13,4207.571428571428
647,2021-12-14,4162.714285714285
648,2021-12-15,4319.428571428572
649,2021-12-16,4552.857142857143
650,2021-12-17,4692.0
651,2021-12-18,5171.857142857143
652,2021-12-19,5862.571428571428
653,2021-12-20,6773.285714285715
654,2021-12-21,7696.571428571428
655,2021-12-22,8435.857142857143
656,2021-12-23,9398.857142857143
657,2021-12-24,10510.285714285714
658,2021-12-25,11549.285714285714
659,2021-12-26,12282.714285714286
660,2021-12-27,13242.57142857143
661,2021-12-28,13769.857142857143
662,2021-12-29,14364.857142857143
663,2021-12-30,14811.142857142857
664,2021-12-31,15095.57142857143
665,2022-01-01,20362.571428571428
666,2022-01-02,26462.714285714286
667,2022-01-03,32683.285714285714
668,2022-01-04,38220.142857142855
669,2022-01-05,43171.42857142857
670,2022-01-06,47366.71428571428
671,2022-01-07,52866.857142857145
672,2022-01-08,53116.42857142857
673,2022-01-09,51335.142857142855
674,2022-01-10,49386.857142857145
675,2022-01-11,49830.57142857143
676,2022-01-12,53669.42857142857
677,2022-01-13,57887.142857142855
678,2022-01-14,58403.0
679,2022-01-15,60662.142857142855
680,2022-01-16,61713.57142857143
681,2022-01-17,64718.0
682,2022-01-18,64331.42857142857
683,2022-01-19,61507.142857142855
684,2022-01-20,57496.28571428572
685,2022-01-21,58692.28571428572
686,2022-01-22,57728.142857142855
687,2022-01-23,58866.28571428572
688,2022-01-24,54674.28571428572
689,2022-01-25,53403.28571428572
690,2022-01-26,49787.142857142855
691,2022-01-27,48127.28571428572
692,2022-01-28,44189.57142857143
693,2022-01-29,41494.28571428572
694,2022-01-30,36939.57142857143
695,2022-01-31,35168.857142857145
696,2022-02-01,33806.71428571428
697,2022-02-02,33089.857142857145
698,2022-02-03,32139.714285714286
699,2022-02-04,29723.571428571428
700,2022-02-05,26378.0
701,2022-02-06,25209.85714285714
702,2022-02-07,23462.14285714286
703,2022-02-08,20066.714285714286
704,2022-02-09,18191.14285714286
705,2022-02-10,16398.714285714286
706,2022-02-11,15182.285714285714
707,2022-02-12,14049.57142857143
708,2022-02-13,12734.142857142857
709,2022-02-14,11600.285714285714
710,2022-02-15,11486.0
711,2022-02-16,10645.0
712,2022-02-17,9617.0
713,2022-02-18,9220.0
714,2022-02-19,8683.0
715,2022-02-20,7687.857142857143
716,2022-02-21,7496.428571428572
717,2022-02-22,6768.571428571428
718,2022-02-23,6459.428571428572
719,2022-02-24,6096.285714285715
720,2022-02-25,5543.285714285715
721,2022-02-26,4974.428571428572
722,2022-02-27,4859.428571428572
723,2022-02-28,4564.0
724,2022-03-01,4417.0
