,date,new_confirmed
616,2021-11-13,1451.7142857142858
617,2021-11-14,1562.4285714285713
618,2021-11-15,1635.2857142857142
619,2021-11-16,1631.7142857142858
620,2021-11-17,1718.857142857143
621,2021-11-18,1811.7142857142858
622,2021-11-19,1871.4285714285713
623,2021-11-20,1951.5714285714287
624,2021-11-21,1937.4285714285713
625,2021-11-22,1963.2857142857142
626,2021-11-23,2092.0
627,2021-11-24,2129.1428571428573
628,2021-11-25,2183.1428571428573
629,2021-11-26,2169.5714285714284
630,2021-11-27,2139.714285714286
631,2021-11-28,2177.8571428571427
632,2021-11-29,2277.5714285714284
633,2021-11-30,2364.8571428571427
634,2021-12-01,2504.8571428571427
635,2021-12-02,2735.0
636,2021-12-03,3066.285714285714
637,2021-12-04,3412.5714285714284
638,2021-12-05,3645.0
639,2021-12-06,3751.8571428571427
640,2021-12-07,3851.714285714286
641,2021-12-08,4004.5714285714284
642,2021-12-09,4169.571428571428
643,2021-12-10,4312.428571428572
644,2021-12-11,4338.428571428572
645,2021-12-12,4387.857142857143
646,2021-12-13,4429.285714285715
647,2021-12-14,4493.142857142857
648,2021-12-15,4597.571428571428
649,2021-12-16,4827.0
650,2021-12-17,5103.285714285715
651,2021-12-18,5538.714285714285
652,2021-12-19,6039.142857142857
653,2021-12-20,6584.285714285715
654,2021-12-21,7169.571428571428
655,2021-12-22,8157.714285714285
656,2021-12-23,9714.714285714286
657,2021-12-24,11363.857142857143
658,2021-12-25,13054.857142857143
659,2021-12-26,14028.285714285714
660,2021-12-27,14405.0
661,2021-12-28,15367.857142857143
662,2021-12-29,17448.85714285714
663,2021-12-30,19885.0
664,2021-12-31,21996.85714285714
665,2022-01-01,23841.14285714286
666,2022-01-02,25597.285714285714
667,2022-01-03,27313.14285714286
668,2022-01-04,29367.428571428572
669,2022-01-05,30912.0
670,2022-01-06,30496.14285714286
671,2022-01-07,31172.85714285714
672,2022-01-08,31217.0
673,2022-01-09,31511.571428571428
674,2022-01-10,31699.714285714286
675,2022-01-11,31098.428571428572
676,2022-01-12,29097.0
677,2022-01-13,27869.571428571428
678,2022-01-14,25676.428571428572
679,2022-01-15,23413.428571428572
680,2022-01-16,21546.428571428572
681,2022-01-17,19549.0
682,2022-01-18,17508.571428571428
683,2022-01-19,15742.714285714286
684,2022-01-20,14085.857142857143
685,2022-01-21,12482.142857142857
686,2022-01-22,11348.57142857143
687,2022-01-23,10455.714285714286
688,2022-01-24,9850.857142857143
689,2022-01-25,9079.42857142857
690,2022-01-26,8538.42857142857
691,2022-01-27,7774.142857142857
692,2022-01-28,7522.0
693,2022-01-29,7015.571428571428
694,2022-01-30,6013.0
695,2022-01-31,5617.142857142857
696,2022-02-01,5292.428571428572
697,2022-02-02,4844.714285714285
698,2022-02-03,4442.571428571428
699,2022-02-04,3429.0
700,2022-02-05,3083.5714285714284
701,2022-02-06,3033.1428571428573
702,2022-02-07,2899.714285714286
703,2022-02-08,2679.0
704,2022-02-09,2441.285714285714
705,2022-02-10,2338.8571428571427
706,2022-02-11,2275.285714285714
707,2022-02-12,2122.714285714286
708,2022-02-13,2028.0
709,2022-02-14,2018.7142857142858
710,2022-02-15,1971.2857142857142
711,2022-02-16,1994.857142857143
712,2022-02-17,1930.5714285714287
713,2022-02-18,1891.857142857143
714,2022-02-19,1621.4285714285713
715,2022-02-20,1869.857142857143
716,2022-02-21,1790.7142857142858
717,2022-02-22,1738.0
718,2022-02-23,1548.4285714285713
719,2022-02-24,1199.4285714285713
720,2022-02-25,1281.142857142857
721,2022-02-26,1440.5714285714287
722,2022-02-27,1208.2857142857142
723,2022-02-28,1242.142857142857
724,2022-03-01,1229.7142857142858
