ORIGIN,DEST,COUNT
CT,TX,802.0
CT,VA,2995.0
DE,FL,57.0
FL,AL,1346.0
FL,AR,999.0
FL,AZ,3436.0
FL,CA,13144.0
FL,CO,11541.0
FL,CT,4709.0
FL,DE,57.0
FL,FL,30457.0
FL,GA,51413.0
FL,HI,123.0
FL,IA,1356.0
FL,IL,29828.0
FL,IN,7525.0
FL,KS,225.0
FL,KY,9253.0
FL,LA,6095.0
FL,MA,17673.0
FL,MD,17230.0
FL,ME,658.0
FL,MI,14669.0
FL,MN,6652.0
FL,MO,10440.0
FL,MS,89.0
FL,MT,13.0
FL,NC,36696.0
FL,ND,232.0
FL,NE,601.0
FL,NH,1620.0
FL,NJ,30015.0
FL,NV,4175.0
FL,NY,60400.0
FL,OH,12390.0
FL,OK,739.0
FL,OR,403.0
FL,PA,25394.0
FL,PR,13330.0
FL,RI,2724.0
FL,SC,2400.0
FL,SD,312.0
FL,TN,15399.0
FL,TX,54457.0
FL,UT,3257.0
FL,VA,27047.0
FL,VI,2585.0
FL,VT,82.0
FL,WA,3668.0
FL,WI,3536.0
FL,WV,683.0
GA,AK,145.0
GA,AL,8007.0
GA,AR,3409.0
GA,AZ,3600.0
GA,CA,11279.0
GA,CO,5747.0
GA,CT,1826.0
GA,FL,51419.0
GA,GA,15544.0
GA,HI,334.0
GA,IA,1356.0
GA,ID,341.0
GA,IL,9990.0
GA,IN,5351.0
GA,KS,956.0
GA,KY,6967.0
GA,LA,8825.0
GA,MA,4507.0
GA,MD,5285.0
GA,ME,524.0
GA,MI,5267.0
GA,MN,3284.0
GA,MO,6179.0
GA,MS,4860.0
GA,MT,368.0
GA,NC,18072.0
GA,NE,1814.0
GA,NJ,7201.0
GA,NM,987.0
GA,NV,3830.0
GA,NY,19921.0
GA,OH,6293.0
GA,OK,3131.0
GA,OR,1148.0
GA,PA,9153.0
GA,PR,1176.0
GA,RI,999.0
GA,SC,9437.0
GA,SD,334.0
GA,TN,12913.0
GA,TX,23192.0
GA,UT,2605.0
GA,VA,17601.0
GA,VI,676.0
GA,VT,334.0
GA,WA,3156.0
GA,WI,3587.0
GA,WV,835.0
GA,WY,175.0
