ORIGIN,DEST,COUNT
WA,KS,281.0
WA,KY,597.0
WA,LA,359.0
WA,MA,2232.0
WA,MD,425.0
WA,MI,1824.0
WA,MN,3415.0
WA,MO,1390.0
WA,MT,4177.0
WA,NC,1667.0
WA,NE,309.0
WA,NJ,1911.0
WA,NM,366.0
WA,NV,9038.0
WA,NY,2989.0
WA,OH,411.0
WA,OK,332.0
WA,OR,17570.0
WA,PA,1301.0
WA,SC,306.0
WA,TN,950.0
WA,TX,7833.0
WA,UT,5650.0
WA,VA,2001.0
WA,WA,27781.0
WA,WI,337.0
WA,WY,150.0
WI,AZ,1611.0
WI,CA,117.0
WI,CO,3266.0
WI,FL,3548.0
WI,GA,3601.0
WI,IL,7213.0
WI,MA,870.0
WI,MD,578.0
WI,MI,4703.0
WI,MN,6886.0
WI,MO,506.0
WI,NC,1839.0
WI,NJ,1267.0
WI,NV,1254.0
WI,NY,2213.0
WI,OH,3.0
WI,PA,773.0
WI,SC,4.0
WI,TN,715.0
WI,TX,3003.0
WI,UT,236.0
WI,VA,814.0
WI,WA,337.0
WV,FL,685.0
WV,GA,835.0
WV,IL,797.0
WV,NC,1120.0
WV,PA,211.0
WV,SC,60.0
WV,VA,811.0
WY,AZ,105.0
WY,CA,802.0
WY,CO,5453.0
WY,GA,173.0
WY,IL,475.0
WY,MN,30.0
WY,NC,19.0
WY,NJ,140.0
WY,NY,70.0
WY,TX,424.0
WY,UT,1088.0
WY,WA,150.0
